,club_name,last_name,first_name,position,current_annualized_base_salary,annualized_average_guaranteed_comp,season,club_abbr
6630,Philadelphia Union,Aaronson,Brenden,M/F,70000,98309,2019,PHI
1526,Colorado Rapids,Ababio,Eddie,D,32604,32604,2011,COL
2371,New York Red Bulls,Abang,Anatole,F,68927,68927,2018,RBNY
2476,New York Red Bulls,Abang,Anatole,F,65625,65625,2017,RBNY
2590,New York Red Bulls,Abang,Anatole,F,62500,62500,2016,RBNY
2724,New York Red Bulls,Abang,Anatole,F,50000,50000,2015,RBNY
5679,Vancouver Whitecaps,Abdallah,Aminu,M,46500,46500,2013,VAN
1,Seattle Sounders FC,Abdul-Salaam,Saad,D,70250,70250,2019,SEA
336,New York City FC,Abdul-Salaam,Saad,D,106480,120230,2018,NYC
525,Sporting Kansas City,Abdul-Salaam,Saad,D,96800,110550,2017,KC
734,Sporting Kansas City,Abdul-Salaam,Saad,D,63000,76750,2016,KC
891,Sporting Kansas City,Abdul-Salaam,Saad,D,60000,73750,2015,KC
4615,Columbus Crew,Abu,Mohammed,M,175008,181258,2018,CLB
4831,Columbus Crew,Abu,Mohammed,M,165000,171250,2017,CLB
561,Columbus Crew,Abubakar,Alhassan Lalas,D,65000,72500,2017,CLB
2,Colorado Rapids,Abubakar,Alhassan Lalas,D,135000,144938,2019,COL
361,Columbus Crew,Abubakar,Alhassan Lalas,D,68250,75750,2018,CLB
2618,Chicago Fire,Accam,David,F,650000,720938,2015,CHI
3566,Philadelphia Union,Accam,David,F/M,1250000,1250000,2018,PHI
3581,Chicago Fire,Accam,David,F/M,750000,820938,2017,CHI
3588,Chicago Fire,Accam,David,F/M,7.00E+05,770938,2016,CHI
6631,Columbus Crew,Accam,David,M/F,1010004,1137920,2019,CLB
4379,FC Dallas,Acosta,Bryan,M,6.00E+05,650000,2019,FCD
3,Orlando City SC,Acosta,Danilo,D,110000,110000,2019,ORL
4649,Real Salt Lake,Acosta,Danilo,M,1.00E+05,1.00E+05,2018,RSL
4899,Real Salt Lake,Acosta,Danilo,M,65625,65625,2017,RSL
5114,Real Salt Lake,Acosta,Danilo,M,62500,62500,2016,RSL
2000,Colorado Rapids,Acosta,Kellyn,D/M,550000,665000,2019,COL
4579,FC Dallas,Acosta,Kellyn,M,280000,3.00E+05,2018,FCD
4792,FC Dallas,Acosta,Kellyn,M,260000,280000,2017,FCD
4997,FC Dallas,Acosta,Kellyn,M,220000,240000,2016,FCD
5253,FC Dallas,Acosta,Kellyn,M,60000,84000,2015,FCD
5429,FC Dallas,Acosta,Kellyn,M,55000,79000,2014,FCD
5622,FC Dallas,Acosta,Kellyn,M,46500,70500,2013,FCD
3567,DC United,Acosta,Luciano,F/M,550000,652000,2018,DC
6632,DC United,Acosta,Luciano,M/F,6.00E+05,702000,2019,DC
6776,DC United,Acosta,Luciano,M/F,5.00E+05,602000,2017,DC
6799,DC United,Acosta,Luciano,M/F,327273,429273,2016,DC
4380,Atlanta United,Adams,Mohammed,M,1.00E+05,135000,2019,ATL
4639,Chicago Fire,Adams,Mohammed,M,90000,125000,2018,CHI
4627,New York Red Bulls,Adams,Tyler,M,107500,153542,2018,RBNY
4876,New York Red Bulls,Adams,Tyler,M,75000,91042,2017,RBNY
5080,New York Red Bulls,Adams,Tyler,M,65000,81042,2016,RBNY
3541,DC United,Addlery,Nicholas,F,36000,36000,2007,DC
2382,Seattle Sounders FC,Adekoya,Seyi,F,55650,55650,2018,SEA
2494,Seattle Sounders FC,Adekoya,Seyi,F,53004,53004,2017,SEA
553,Vancouver Whitecaps,Adekugbe,Samuel,D,80000,85000,2017,VAN
738,Vancouver Whitecaps,Adekugbe,Samuel,D,70000,75000,2016,VAN
899,Vancouver Whitecaps,Adekugbe,Samuel,D,60000,65000,2015,VAN
1055,Vancouver Whitecaps,Adekugbe,Samuel,D,50000,55000,2014,VAN
1209,Vancouver Whitecaps,Adekugbe,Samuel,D,46500,51500,2013,VAN
2166,FC Cincinnati,Adi,Fanendo,F,1360008,1965008,2019,CIN
2272,Portland Timbers,Adi,Fanendo,F,1275000,1933333,2018,POR
2400,Portland Timbers,Adi,Fanendo,F,1190004,1736254,2017,POR
2517,Portland Timbers,Adi,Fanendo,F,640000,712500,2016,POR
2619,Portland Timbers,Adi,Fanendo,F,651500,664000,2015,POR
2736,Portland Timbers,Adi,Fanendo,F,580800,593300,2014,POR
4780,Colorado Rapids,Adjei-Boateng,Bismark Nana,M,3.00E+05,341246,2017,COL
4565,Colorado Rapids,Adjei-Boateng,Bismark Nana,M,320004,361250,2018,COL
4,Vancouver Whitecaps,Adnan,Ali,D,1200000,1277500,2019,VAN
5706,Philadelphia Union,Adu,Freddy,M,4.00E+05,519000,2012,PHI
5888,Philadelphia Union,Adu,Freddy,M,475884,594884,2011,PHI
1887,LA Galaxy,Adzemian,Vardan,D,12900,12900,2008,LAG
5,San Jose Earthquakes,Affolter,Francois,D,250000,282000,2019,SJ
284,San Jose Earthquakes,Affolter,Francois,D,2.00E+05,232650,2018,SJ
494,San Jose Earthquakes,Affolter,Francois,D,120000,154250,2017,SJ
6,Columbus Crew,Afful,Harrison,D,288100,363800,2019,CLB
257,Columbus Crew,Afful,Harrison,D,288100,335600,2018,CLB
451,Columbus Crew,Afful,Harrison,D,280000,296667,2017,CLB
637,Columbus Crew,Afful,Harrison,D,275000,291667,2016,CLB
