,club,matches_played,wins,draws,losses,season,points,points_per_match
1,Atlanta United,34,18,4,12,2019,58,1.705882353
2,Chicago Fire,34,10,12,12,2019,42,1.235294118
3,Colorado Rapids,34,12,6,16,2019,42,1.235294118
4,Columbus Crew,34,10,8,16,2019,38,1.117647059
5,DC United,34,13,11,10,2019,50,1.470588235
6,FC Cincinnati,34,6,6,22,2019,24,0.705882353
7,FC Dallas,34,13,9,12,2019,48,1.411764706
8,Houston Dynamo,34,12,4,18,2019,40,1.176470588
9,LA Galaxy,34,16,3,15,2019,51,1.5
10,LAFC,34,21,9,4,2019,72,2.117647059
11,Minnesota United,34,15,8,11,2019,53,1.558823529
12,Montreal Impact,34,12,5,17,2019,41,1.205882353
13,New England Revolution,34,11,12,11,2019,45,1.323529412
14,New York Red Bulls,34,14,6,14,2019,48,1.411764706
15,New York City FC,34,18,10,6,2019,64,1.882352941
16,Orlando City SC,34,9,10,15,2019,37,1.088235294
17,Philadelphia Union,34,16,7,11,2019,55,1.617647059
18,Portland Timbers,34,14,7,13,2019,49,1.441176471
19,Real Salt Lake,34,16,5,13,2019,53,1.558823529
20,San Jose Earthquakes,34,13,5,16,2019,44,1.294117647
21,Seattle Sounders FC,34,16,8,10,2019,56,1.647058824
22,Sporting Kansas City,34,10,8,16,2019,38,1.117647059
23,Toronto FC,34,13,11,10,2019,50,1.470588235
24,Vancouver Whitecaps,34,8,10,16,2019,34,1
25,Atlanta United,34,21,6,6,2018,69,2.029411765
26,Chicago Fire,34,8,8,18,2018,32,0.941176471
27,Colorado Rapids,34,8,7,18,2018,31,0.911764706
28,Columbus Crew,34,14,9,11,2018,51,1.5
29,DC United,34,14,9,11,2018,51,1.5
30,FC Dallas,34,16,9,9,2018,57,1.676470588
31,Houston Dynamo,34,10,8,16,2018,38,1.117647059
32,LA Galaxy,34,13,9,12,2018,48,1.411764706
33,LAFC,34,16,9,9,2018,57,1.676470588
34,Minnesota United,34,11,3,20,2018,36,1.058823529
35,Montreal Impact,34,14,4,16,2018,46,1.352941176
36,New England Revolution,34,10,11,13,2018,41,1.205882353
37,New York Red Bulls,34,22,5,7,2018,71,2.088235294
38,New York City FC,34,16,8,10,2018,56,1.647058824
39,Orlando City SC,34,8,4,22,2018,28,0.823529412
40,Philadelphia Union,34,15,5,14,2018,50,1.470588235
41,Portland Timbers,34,15,9,10,2018,54,1.588235294
42,Real Salt Lake,34,14,7,13,2018,49,1.441176471
43,San Jose Earthquakes,34,4,9,21,2018,21,0.617647059
44,Seattle Sounders FC,34,18,5,11,2018,59,1.735294118
45,Sporting Kansas City,34,18,8,8,2018,62,1.823529412
46,Toronto FC,34,10,6,18,2018,36,1.058823529
47,Vancouver Whitecaps,34,13,8,13,2018,47,1.382352941
49,Atlanta United,34,15,10,9,2017,55,1.617647059
50,Chicago Fire,34,16,7,11,2017,55,1.617647059
51,Colorado Rapids,34,9,6,19,2017,33,0.970588235
52,Columbus Crew,34,16,6,12,2017,54,1.588235294
53,DC United,34,9,5,20,2017,32,0.941176471
54,FC Dallas,34,11,13,10,2017,46,1.352941176
55,Houston Dynamo,34,13,11,10,2017,50,1.470588235
56,LA Galaxy,34,8,7,18,2017,31,0.911764706
57,Minnesota United,34,10,6,18,2017,36,1.058823529
58,Montreal Impact,34,11,6,17,2017,39,1.147058824
59,New England Revolution,34,13,6,15,2017,45,1.323529412
60,New York Red Bulls,34,14,8,12,2017,50,1.470588235
61,New York City FC,34,16,9,9,2017,57,1.676470588
62,Orlando City SC,34,10,9,15,2017,39,1.147058824
63,Philadelphia Union,34,11,9,14,2017,42,1.235294118
64,Portland Timbers,34,15,8,11,2017,53,1.558823529
65,Real Salt Lake,34,13,6,15,2017,45,1.323529412
66,San Jose Earthquakes,34,13,7,14,2017,46,1.352941176
67,Seattle Sounders FC,34,14,11,9,2017,53,1.558823529
68,Sporting Kansas City,34,12,13,9,2017,49,1.441176471
69,Toronto FC,34,20,9,5,2017,69,2.029411765
70,Vancouver Whitecaps,34,15,7,12,2017,52,1.529411765
73,Chicago Fire,34,7,10,17,2016,31,0.911764706
74,Colorado Rapids,34,15,13,6,2016,58,1.705882353
75,Columbus Crew,34,8,12,14,2016,36,1.058823529
76,DC United,34,11,13,10,2016,46,1.352941176
77,FC Dallas,34,17,9,8,2016,60,1.764705882
78,Houston Dynamo,34,7,13,14,2016,34,1
79,LA Galaxy,34,12,16,6,2016,52,1.529411765
80,Montreal Impact,34,11,12,11,2016,45,1.323529412
81,New England Revolution,34,11,9,14,2016,42,1.235294118
82,New York Red Bulls,34,16,9,9,2016,57,1.676470588
83,New York City FC,34,15,9,10,2016,54,1.588235294
84,Orlando City SC,34,9,14,11,2016,41,1.205882353
85,Philadelphia Union,34,11,9,14,2016,42,1.235294118
86,Portland Timbers,34,12,8,14,2016,44,1.294117647
87,Real Salt Lake,34,12,10,12,2016,46,1.352941176
88,San Jose Earthquakes,34,8,14,12,2016,38,1.117647059
89,Seattle Sounders FC,34,14,6,14,2016,48,1.411764706
90,Sporting Kansas City,34,13,8,13,2016,47,1.382352941
91,Toronto FC,34,14,11,9,2016,53,1.558823529
92,Vancouver Whitecaps,34,10,9,15,2016,39,1.147058824
97,Chicago Fire,34,8,6,20,2015,30,0.882352941
98,Colorado Rapids,34,9,10,15,2015,37,1.088235294
99,Columbus Crew,34,15,8,11,2015,53,1.558823529
100,DC United,34,15,7,13,2015,52,1.529411765
101,FC Dallas,34,18,6,10,2015,60,1.764705882
102,Houston Dynamo,34,11,9,14,2015,42,1.235294118
103,LA Galaxy,34,13,9,12,2015,48,1.411764706
104,Montreal Impact,34,15,6,13,2015,51,1.5
105,New England Revolution,34,14,8,12,2015,50,1.470588235
106,New York Red Bulls,34,18,6,10,2015,60,1.764705882
107,New York City FC,34,10,7,17,2015,37,1.088235294
108,Orlando City SC,34,13,9,13,2015,48,1.411764706
109,Philadelphia Union,34,10,7,17,2015,37,1.088235294
110,Portland Timbers,34,15,8,11,2015,53,1.558823529
111,Real Salt Lake,34,11,8,15,2015,41,1.205882353
112,San Jose Earthquakes,34,13,8,13,2015,47,1.382352941
113,Seattle Sounders FC,34,15,6,13,2015,51,1.5
114,Sporting Kansas City,34,14,9,11,2015,51,1.5
115,Toronto FC,34,15,4,15,2015,49,1.441176471
116,Vancouver Whitecaps,34,16,5,13,2015,53,1.558823529
121,Chicago Fire,34,6,18,10,2014,36,1.058823529
122,Chivas USA,34,9,6,19,2014,33,0.970588235
123,Colorado Rapids,34,8,8,17,2014,32,0.941176471
124,Columbus Crew,34,14,10,10,2014,52,1.529411765
125,DC United,34,17,8,9,2014,59,1.735294118
126,FC Dallas,34,16,6,11,2014,54,1.588235294
127,Houston Dynamo,34,11,6,17,2014,39,1.147058824
128,LA Galaxy,34,17,10,7,2014,61,1.794117647
129,Montreal Impact,34,6,10,18,2014,28,0.823529412
130,New England Revolution,34,17,4,13,2014,55,1.617647059
131,New York Red Bulls,34,13,11,10,2014,50,1.470588235
132,Philadelphia Union,34,10,12,12,2014,42,1.235294118
133,Portland Timbers,34,12,13,9,2014,49,1.441176471
134,Real Salt Lake,34,15,11,8,2014,56,1.647058824
135,San Jose Earthquakes,34,6,12,16,2014,30,0.882352941
136,Seattle Sounders FC,34,20,4,10,2014,64,1.882352941
137,Sporting Kansas City,34,13,8,12,2014,47,1.382352941
138,Toronto FC,34,11,8,15,2014,41,1.205882353
139,Vancouver Whitecaps,34,12,14,8,2014,50,1.470588235
145,Chicago Fire,34,14,7,13,2013,49,1.441176471
146,Chivas USA,34,6,8,20,2013,26,0.764705882
147,Colorado Rapids,34,14,9,11,2013,51,1.5
148,Columbus Crew,34,12,5,17,2013,41,1.205882353
149,DC United,34,3,7,24,2013,16,0.470588235
150,FC Dallas,34,11,11,12,2013,44,1.294117647
151,Houston Dynamo,34,14,9,11,2013,51,1.5
152,LA Galaxy,34,15,8,11,2013,53,1.558823529
153,Montreal Impact,34,14,7,13,2013,49,1.441176471
154,New England Revolution,34,14,9,11,2013,51,1.5
155,New York Red Bulls,34,17,8,9,2013,59,1.735294118
156,Philadelphia Union,34,12,10,12,2013,46,1.352941176
157,Portland Timbers,34,14,15,5,2013,57,1.676470588
158,Real Salt Lake,34,16,8,10,2013,56,1.647058824
159,San Jose Earthquakes,34,14,9,11,2013,51,1.5
160,Seattle Sounders FC,34,15,7,12,2013,52,1.529411765
161,Sporting Kansas City,34,17,7,10,2013,58,1.705882353
162,Toronto FC,34,6,11,17,2013,29,0.852941176
163,Vancouver Whitecaps,34,13,9,12,2013,48,1.411764706
169,Chicago Fire,34,17,6,11,2012,57,1.676470588
170,Chivas USA,34,7,9,18,2012,30,0.882352941
171,Colorado Rapids,34,11,4,19,2012,37,1.088235294
172,Columbus Crew,34,15,7,12,2012,52,1.529411765
173,DC United,34,17,7,10,2012,58,1.705882353
