Atlanta,Chicago,Colorado,Columbus,D.C. United,FC Cincinnati,FC Dallas,Houston,LA Galaxy,Los Angeles FC,Minnesota,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
18,10,12,10,13,6,13,12,16,21,15,12,11,14,18,9,16,14,16,13,16,10,13,8
4,12,6,8,11,6,9,4,3,9,8,5,12,6,10,10,7,7,5,5,8,8,11,10
12,12,16,16,10,22,12,18,15,4,11,17,11,14,6,15,11,13,13,16,10,16,10,16
Atlanta,Chicago,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Los Angeles FC,Minnesota,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
21,8,8,14,14,16,10,13,16,11,14,10,22,16,8,15,15,14,4,18,18,10,13,
6,8,7,9,9,9,8,9,9,3,4,11,5,8,4,5,9,7,9,5,8,6,8,
6,18,18,11,11,9,16,12,9,20,16,13,7,10,22,14,10,13,21,11,8,18,13,
Atlanta,Chicago,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Minnesota,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
15,16,9,16,9,11,13,8,10,11,13,14,16,10,11,15,13,13,14,12,20,15,,
10,7,6,6,5,13,11,7,6,6,6,8,9,9,9,8,6,7,11,13,9,7,,
9,11,19,12,20,10,10,18,18,17,15,12,9,15,14,11,15,14,9,9,5,12,,
Chicago,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,
7,15,8,11,17,7,12,11,11,16,15,9,11,12,12,8,14,13,14,10,,,,
10,13,12,13,9,13,16,12,9,9,9,14,9,8,10,14,6,8,11,9,,,,
17,6,14,10,8,14,6,11,14,9,10,11,14,14,12,12,14,13,9,15,,,,
Chicago,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Montreal,New England,NY Red Bulls,NYCFC,Orlando City,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,
8,9,15,15,18,11,13,15,14,18,10,13,10,15,11,13,15,14,15,16,,,,
6,10,8,7,6,9,9,6,8,6,7,9,7,8,8,8,6,9,4,5,,,,
20,15,11,13,10,14,12,13,12,10,17,13,17,11,15,13,13,11,15,13,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Montreal,New England,NY Red Bulls,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,
6,9,8,14,17,16,11,17,6,17,13,10,12,15,6,20,13,11,12,,,,,
18,6,8,10,8,6,6,10,10,4,11,12,13,11,12,4,8,8,14,,,,,
10,19,17,10,9,11,17,7,18,13,10,12,9,8,16,10,12,15,8,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Montreal,New England,NY Red Bulls,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,
14,6,14,12,3,11,14,15,14,14,17,12,14,16,14,15,17,6,13,,,,,
7,8,9,5,7,11,9,8,7,9,8,10,15,8,9,7,7,11,9,,,,,
13,20,11,17,24,12,11,11,13,11,9,12,5,10,11,12,10,17,12,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,Montreal,New England,NY Red Bulls,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,
17,7,11,15,17,9,14,16,10,9,16,10,8,17,19,15,18,5,11,,,,,
6,9,4,7,7,12,11,6,10,8,9,6,10,6,9,11,9,8,10,,,,,
11,18,19,12,10,13,9,12,14,17,9,18,16,11,6,8,7,21,13,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,LA Galaxy,New England,NY Red Bulls,Philadelphia,Portland,Real Salt Lake,San Jose,Seattle,Sporting KC,Toronto FC,Vancouver,,,,,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,,,,,
9,8,12,13,9,15,12,19,5,10,11,11,15,8,18,13,6,6,,,,,,
16,12,13,8,12,7,13,10,13,16,15,9,8,14,9,12,15,10,,,,,,
9,14,9,13,13,11,9,5,16,8,8,14,11,12,7,9,13,18,,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,KC Wizards,LA Galaxy,New England,NY Red Bulls,Philadelphia,Real Salt Lake,San Jose,Seattle,Toronto FC,,,,,,,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,
9,8,12,14,6,12,9,11,18,9,15,8,15,13,14,9,,,,,,,,
9,4,10,8,4,14,6,6,5,5,6,7,11,7,6,8,,,,,,,,
12,17,8,8,20,4,15,13,7,16,9,15,4,10,10,13,,,,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,KC Wizards,LA Galaxy,New England,NY Red Bulls,Real Salt Lake,San Jose,Seattle,Toronto FC,,,,,,,,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,
11,13,10,13,9,11,13,8,12,11,5,11,7,12,10,,,,,,,,,
12,6,10,10,13,6,9,9,12,9,6,7,9,11,9,,,,,,,,,
7,11,10,7,8,13,8,13,6,10,19,12,14,7,11,,,,,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,KC Wizards,LA Galaxy,New England,NY Red Bulls,Real Salt Lake,San Jose,Toronto FC,,,,,,,,,,
30,30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,
13,12,11,17,11,8,13,11,8,12,10,10,8,9,,,,,,,,,,
7,7,5,6,4,12,12,10,9,7,9,10,9,8,,,,,,,,,,
10,11,14,7,15,10,5,9,13,11,11,10,13,13,,,,,,,,,,
Chicago,Chivas USA,Colorado,Columbus,D.C. United,FC Dallas,Houston,KC Wizards,LA Galaxy,New England,NY Red Bulls,Real Salt Lake,Toronto FC,,,,,,,,,,,
30,30,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,
10,15,9,9,16,13,15,11,9,14,12,6,6,,,,,,,,,,,
