"","club","matches_played","wins","draws","losses","season","points","points_per_match"
"1","Atlanta United",34,18,4,12,"2019",58,1.70588235294118
"2","Chicago Fire",34,10,12,12,"2019",42,1.23529411764706
"3","Colorado Rapids Rapids",34,12,6,16,"2019",42,1.23529411764706
"4","Columbus Crew Crew",34,10,8,16,"2019",38,1.11764705882353
"5","DC United",34,13,11,10,"2019",50,1.47058823529412
"6","FC Cincinnati",34,6,6,22,"2019",24,0.705882352941177
"7","FC Dallas",34,13,9,12,"2019",48,1.41176470588235
"8","Houston Dynamo",34,12,4,18,"2019",40,1.17647058823529
"9","LA Galaxy",34,16,3,15,"2019",51,1.5
"10","LAFC",34,21,9,4,"2019",72,2.11764705882353
"11","Minnesota United",34,15,8,11,"2019",53,1.55882352941176
"12","Montreal Impact",34,12,5,17,"2019",41,1.20588235294118
"13","New England Revolution",34,11,12,11,"2019",45,1.32352941176471
"14","New York Red Bulls",34,14,6,14,"2019",48,1.41176470588235
"15","New York City FC",34,18,10,6,"2019",64,1.88235294117647
"16","Orlando City SC",34,9,10,15,"2019",37,1.08823529411765
"17","Philadelphia Union",34,16,7,11,"2019",55,1.61764705882353
"18","Portland Timbers",34,14,7,13,"2019",49,1.44117647058824
"19","Real Salt Lake",34,16,5,13,"2019",53,1.55882352941176
"20","San Jose Earthquakes",34,13,5,16,"2019",44,1.29411764705882
"21","Seattle Sounders FC",34,16,8,10,"2019",56,1.64705882352941
"22","Sporting Kansas City",34,10,8,16,"2019",38,1.11764705882353
"23","Toronto FC",34,13,11,10,"2019",50,1.47058823529412
"24","Vancouver Whitecaps",34,8,10,16,"2019",34,1
"25","Atlanta United",34,21,6,6,"2018",69,2.02941176470588
"26","Chicago Fire",34,8,8,18,"2018",32,0.941176470588235
"27","Colorado Rapids Rapids",34,8,7,18,"2018",31,0.911764705882353
"28","Columbus Crew Crew",34,14,9,11,"2018",51,1.5
"29","DC United",34,14,9,11,"2018",51,1.5
"30","FC Dallas",34,16,9,9,"2018",57,1.67647058823529
"31","Houston Dynamo",34,10,8,16,"2018",38,1.11764705882353
"32","LA Galaxy",34,13,9,12,"2018",48,1.41176470588235
"33","LAFC",34,16,9,9,"2018",57,1.67647058823529
"34","Minnesota United",34,11,3,20,"2018",36,1.05882352941176
"35","Montreal Impact",34,14,4,16,"2018",46,1.35294117647059
"36","New England Revolution",34,10,11,13,"2018",41,1.20588235294118
"37","New York Red Bulls",34,22,5,7,"2018",71,2.08823529411765
"38","New York City FC",34,16,8,10,"2018",56,1.64705882352941
"39","Orlando City SC",34,8,4,22,"2018",28,0.823529411764706
"40","Philadelphia Union",34,15,5,14,"2018",50,1.47058823529412
"41","Portland Timbers",34,15,9,10,"2018",54,1.58823529411765
"42","Real Salt Lake",34,14,7,13,"2018",49,1.44117647058824
"43","San Jose Earthquakes",34,4,9,21,"2018",21,0.617647058823529
"44","Seattle Sounders FC",34,18,5,11,"2018",59,1.73529411764706
"45","Sporting Kansas City",34,18,8,8,"2018",62,1.82352941176471
"46","Toronto FC",34,10,6,18,"2018",36,1.05882352941176
"47","Vancouver Whitecaps",34,13,8,13,"2018",47,1.38235294117647
"49","Atlanta United",34,15,10,9,"2017",55,1.61764705882353
"50","Chicago Fire",34,16,7,11,"2017",55,1.61764705882353
"51","Colorado Rapids Rapids",34,9,6,19,"2017",33,0.970588235294118
"52","Columbus Crew Crew",34,16,6,12,"2017",54,1.58823529411765
"53","DC United",34,9,5,20,"2017",32,0.941176470588235
"54","FC Dallas",34,11,13,10,"2017",46,1.35294117647059
"55","Houston Dynamo",34,13,11,10,"2017",50,1.47058823529412
"56","LA Galaxy",34,8,7,18,"2017",31,0.911764705882353
"57","Minnesota United",34,10,6,18,"2017",36,1.05882352941176
"58","Montreal Impact",34,11,6,17,"2017",39,1.14705882352941
"59","New England Revolution",34,13,6,15,"2017",45,1.32352941176471
"60","New York Red Bulls",34,14,8,12,"2017",50,1.47058823529412
"61","New York City FC",34,16,9,9,"2017",57,1.67647058823529
"62","Orlando City SC",34,10,9,15,"2017",39,1.14705882352941
"63","Philadelphia Union",34,11,9,14,"2017",42,1.23529411764706
"64","Portland Timbers",34,15,8,11,"2017",53,1.55882352941176
"65","Real Salt Lake",34,13,6,15,"2017",45,1.32352941176471
"66","San Jose Earthquakes",34,13,7,14,"2017",46,1.35294117647059
"67","Seattle Sounders FC",34,14,11,9,"2017",53,1.55882352941176
"68","Sporting Kansas City",34,12,13,9,"2017",49,1.44117647058824
"69","Toronto FC",34,20,9,5,"2017",69,2.02941176470588
"70","Vancouver Whitecaps",34,15,7,12,"2017",52,1.52941176470588
"73","Chicago Fire",34,7,10,17,"2016",31,0.911764705882353
"74","Colorado Rapids Rapids",34,15,13,6,"2016",58,1.70588235294118
"75","Columbus Crew Crew",34,8,12,14,"2016",36,1.05882352941176
"76","DC United",34,11,13,10,"2016",46,1.35294117647059
"77","FC Dallas",34,17,9,8,"2016",60,1.76470588235294
"78","Houston Dynamo",34,7,13,14,"2016",34,1
"79","LA Galaxy",34,12,16,6,"2016",52,1.52941176470588
"80","Montreal Impact",34,11,12,11,"2016",45,1.32352941176471
"81","New England Revolution",34,11,9,14,"2016",42,1.23529411764706
"82","New York Red Bulls",34,16,9,9,"2016",57,1.67647058823529
"83","New York City FC",34,15,9,10,"2016",54,1.58823529411765
"84","Orlando City SC",34,9,14,11,"2016",41,1.20588235294118
"85","Philadelphia Union",34,11,9,14,"2016",42,1.23529411764706
"86","Portland Timbers",34,12,8,14,"2016",44,1.29411764705882
"87","Real Salt Lake",34,12,10,12,"2016",46,1.35294117647059
"88","San Jose Earthquakes",34,8,14,12,"2016",38,1.11764705882353
"89","Seattle Sounders FC",34,14,6,14,"2016",48,1.41176470588235
"90","Sporting Kansas City",34,13,8,13,"2016",47,1.38235294117647
"91","Toronto FC",34,14,11,9,"2016",53,1.55882352941176
"92","Vancouver Whitecaps",34,10,9,15,"2016",39,1.14705882352941
"97","Chicago Fire",34,8,6,20,"2015",30,0.882352941176471
"98","Colorado Rapids Rapids",34,9,10,15,"2015",37,1.08823529411765
"99","Columbus Crew Crew",34,15,8,11,"2015",53,1.55882352941176
"100","DC United",34,15,7,13,"2015",52,1.52941176470588
"101","FC Dallas",34,18,6,10,"2015",60,1.76470588235294
"102","Houston Dynamo",34,11,9,14,"2015",42,1.23529411764706
"103","LA Galaxy",34,13,9,12,"2015",48,1.41176470588235
"104","Montreal Impact",34,15,6,13,"2015",51,1.5
"105","New England Revolution",34,14,8,12,"2015",50,1.47058823529412
"106","New York Red Bulls",34,18,6,10,"2015",60,1.76470588235294
